DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-01-31,F:Free,,A:Normal value,72.528616
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-02-29,F:Free,,A:Normal value,72.528616
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-03-31,F:Free,,A:Normal value,72.528616
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-04-30,F:Free,,A:Normal value,73.048907
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-05-31,F:Free,,A:Normal value,73.048907
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-06-30,F:Free,,A:Normal value,73.048907
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-07-31,F:Free,,A:Normal value,75.858481
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-08-31,F:Free,,A:Normal value,75.858481
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-09-30,F:Free,,A:Normal value,75.858481
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-10-31,F:Free,,A:Normal value,76.066597
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-11-30,F:Free,,A:Normal value,76.066597
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2000-12-31,F:Free,,A:Normal value,76.066597
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2001-01-31,F:Free,,A:Normal value,76.899063
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2001-02-28,F:Free,,A:Normal value,76.899063
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2001-03-31,F:Free,,A:Normal value,76.899063
