DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/1999,F:Free,,A:Normal value,1.917404
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2000,F:Free,,A:Normal value,2.80236
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/29/2000,F:Free,,A:Normal value,2.80236
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2000,F:Free,,A:Normal value,2.80236
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2000,F:Free,,A:Normal value,3.0837
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2000,F:Free,,A:Normal value,3.0837
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2000,F:Free,,A:Normal value,3.0837
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2000,F:Free,,A:Normal value,6.113537
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2000,F:Free,,A:Normal value,6.113537
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2000,F:Free,,A:Normal value,6.113537
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2000,F:Free,,A:Normal value,5.788712
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2000,F:Free,,A:Normal value,5.788712
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2000,F:Free,,A:Normal value,5.788712
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2001,F:Free,,A:Normal value,6.025825
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/28/2001,F:Free,,A:Normal value,6.025825
