observation_date,NGDPRSAXDCAUQ
1959-07-01,78678
1959-10-01,79412
1960-01-01,79810
1960-04-01,81999
1960-07-01,82177
1960-10-01,82020
1961-01-01,82274
1961-04-01,81370
1961-07-01,80780
1961-10-01,81707
1962-01-01,83992
1962-04-01,85604
1962-07-01,86291
1962-10-01,87843
1963-01-01,89877
1963-04-01,88715
1963-07-01,92355
1963-10-01,94326
1964-01-01,94167
1964-04-01,96499
1964-07-01,97093
1964-10-01,99850
1965-01-01,100695
1965-04-01,102275
1965-07-01,101969
1965-10-01,102219
1966-01-01,101924
1966-04-01,103315
1966-07-01,106234
1966-10-01,106933
1967-01-01,111115
1967-04-01,110958
1967-07-01,113039
1967-10-01,114019
1968-01-01,113001
1968-04-01,117352
1968-07-01,118899
1968-10-01,123336
1969-01-01,122487
1969-04-01,124915
1969-07-01,126979
1969-10-01,129913
1970-01-01,132599
1970-04-01,135280
1970-07-01,134996
1970-10-01,135628
1971-01-01,137273
1971-04-01,137869
1971-07-01,142180
1971-10-01,141730
1972-01-01,140039
1972-04-01,143159
1972-07-01,142434
1972-10-01,143926
1973-01-01,147661
1973-04-01,147941
1973-07-01,149420
1973-10-01,153156
1974-01-01,153199
1974-04-01,150090
1974-07-01,151869
1974-10-01,152030
1975-01-01,152613
1975-04-01,157445
1975-07-01,155698
1975-10-01,153356
1976-01-01,160162
1976-04-01,160635
1976-07-01,161939
1976-10-01,163342
1977-01-01,162456
1977-04-01,164758
1977-07-01,164046
1977-10-01,163542
1978-01-01,164676
1978-04-01,166059
1978-07-01,168585
1978-10-01,169956
1979-01-01,174628
1979-04-01,171820
1979-07-01,173417
1979-10-01,176755
1980-01-01,177587
1980-04-01,178024
1980-07-01,178984
1980-10-01,182055
1981-01-01,182736
1981-04-01,185580
1981-07-01,189324
1981-10-01,188545
1982-01-01,187040
1982-04-01,188701
1982-07-01,187456
1982-10-01,184439
1983-01-01,182663
1983-04-01,182289
1983-07-01,187399
1983-10-01,190564
1984-01-01,195226
1984-04-01,197506
1984-07-01,199327
1984-10-01,200529
1985-01-01,203487
1985-04-01,208034
1985-07-01,210702
1985-10-01,210113
1986-01-01,211566
1986-04-01,211177
1986-07-01,211734
1986-10-01,215227
1987-01-01,217362
1987-04-01,220826
1987-07-01,224804
1987-10-01,229353
1988-01-01,230284
1988-04-01,230523
1988-07-01,232360
1988-10-01,236147
1989-01-01,238356
1989-04-01,243540
1989-07-01,245576
1989-10-01,244899
1990-01-01,246793
1990-04-01,247136
1990-07-01,245806
1990-10-01,247162
1991-01-01,244057
1991-04-01,243615
1991-07-01,244683
1991-10-01,244850
1992-01-01,246758
1992-04-01,248549
1992-07-01,251000
1992-10-01,256222
1993-01-01,257995
1993-04-01,259478
1993-07-01,259811
1993-10-01,264552
1994-01-01,268950
1994-04-01,272168
1994-07-01,274229
1994-10-01,277287
1995-01-01,277039
1995-04-01,278331
1995-07-01,284769
1995-10-01,284719
1996-01-01,289163
1996-04-01,291003
1996-07-01,293301
1996-10-01,296088
1997-01-01,298161
1997-04-01,307093
1997-07-01,307521
1997-10-01,311901
1998-01-01,313858
1998-04-01,317074
1998-07-01,322967
1998-10-01,327986
1999-01-01,330449
1999-04-01,331814
1999-07-01,335369
1999-10-01,341125
2000-01-01,342430
2000-04-01,345786
2000-07-01,346661
2000-10-01,345365
2001-01-01,348597
2001-04-01,351724
2001-07-01,355807
2001-10-01,360009
2002-01-01,362852
2002-04-01,369089
2002-07-01,369989
2002-10-01,373109
2003-01-01,373943
2003-04-01,375463
2003-07-01,381822
2003-10-01,388291
2004-01-01,391258
2004-04-01,394182
2004-07-01,396778
2004-10-01,399803
2005-01-01,403104
2005-04-01,404931
2005-07-01,409252
2005-10-01,412658
2006-01-01,412924
2006-04-01,413996
2006-07-01,420225
2006-10-01,425507
2007-01-01,431274
2007-04-01,434042
2007-07-01,439200
2007-10-01,440717
2008-01-01,445510
2008-04-01,446982
2008-07-01,449965
2008-10-01,448051
2009-01-01,452488
2009-04-01,455448
2009-07-01,457038
2009-10-01,460710
2010-01-01,462722
2010-04-01,465575
2010-07-01,468877
2010-10-01,472677
2011-01-01,471675
2011-04-01,477254
2011-07-01,483888
2011-10-01,489120
2012-01-01,494031
2012-04-01,497492
2012-07-01,500608
2012-10-01,502629
2013-01-01,505270
2013-04-01,507146
2013-07-01,511276
2013-10-01,515334
2014-01-01,519371
2014-04-01,521983
2014-07-01,524087
2014-10-01,526082
2015-01-01,531234
2015-04-01,531850
2015-07-01,537011
2015-10-01,540375
2016-01-01,545339
2016-04-01,548841
2016-07-01,548812
2016-10-01,555142
2017-01-01,556859
2017-04-01,560259
2017-07-01,565478
2017-10-01,567846
2018-01-01,573719
2018-04-01,577963
2018-07-01,580114
2018-10-01,581461
2019-01-01,585653
2019-04-01,587395
2019-07-01,590700
2019-10-01,594267
2020-01-01,593409
2020-04-01,553460
2020-07-01,572672
2020-10-01,592401
2021-01-01,605503
2021-04-01,610488
2021-07-01,599907
2021-10-01,621261
2022-01-01,627379
2022-04-01,633531
2022-07-01,635924
2022-10-01,641074
2023-01-01,644182
2023-04-01,646331
2023-07-01,649432
2023-10-01,650532
2024-01-01,651554
2024-04-01,652734
2024-07-01,654912
