observation_date,NGDPRSAXDCCAQ
1961-01-01,90980.796875
1961-04-01,93284.500000
1961-07-01,95554.500000
1961-10-01,96854.500000
1962-01-01,99431.796875
1962-04-01,100222.000000
1962-07-01,101503.796875
1962-10-01,103495.500000
1963-01-01,104151.796875
1963-04-01,105666.500000
1963-07-01,106469.500000
1963-10-01,109801.500000
1964-01-01,112550.296875
1964-04-01,112971.796875
1964-07-01,114177.500000
1964-10-01,114750.296875
1965-01-01,118400.500000
1965-04-01,119484.500000
1965-07-01,121152.000000
1965-10-01,124121.296875
1966-01-01,126536.500000
1966-04-01,129268.000000
1966-07-01,129206.296875
1966-10-01,130807.500000
1967-01-01,130512.796875
1967-04-01,133231.796875
1967-07-01,133651.796875
1967-10-01,134234.000000
1968-01-01,135378.296875
1968-04-01,139017.796875
1968-07-01,140954.000000
1968-10-01,142905.796875
1969-01-01,144862.296875
1969-04-01,145458.296875
1969-07-01,147072.000000
1969-10-01,149150.296875
1970-01-01,150072.000000
1970-04-01,150084.500000
1970-07-01,151637.796875
1970-10-01,151868.000000
1971-01-01,151086.796875
1971-04-01,155498.296875
1971-07-01,159795.500000
1971-10-01,161542.000000
1972-01-01,161001.500000
1972-04-01,165565.796875
1972-07-01,166057.000000
1972-10-01,169957.500000
1973-01-01,174319.500000
1973-04-01,175982.500000
1973-07-01,176800.796875
1973-10-01,180061.796875
1974-01-01,181552.000000
1974-04-01,183414.296875
1974-07-01,183449.500000
1974-10-01,182493.796875
1975-01-01,181499.500000
1975-04-01,183828.000000
1975-07-01,187354.796875
1975-10-01,189522.796875
1976-01-01,192825.500000
1976-04-01,196983.796875
1976-07-01,197893.296875
1976-10-01,198213.000000
1977-01-01,201253.296875
1977-04-01,202280.296875
1977-07-01,203469.296875
1977-10-01,206693.500000
1978-01-01,208478.500000
1978-04-01,209897.500000
1978-07-01,211855.500000
1978-10-01,213864.296875
1979-01-01,215570.500000
1979-04-01,218430.296875
1979-07-01,220031.500000
1979-10-01,221507.796875
1980-01-01,223045.796875
1980-04-01,222948.296875
1980-07-01,222763.000000
1980-10-01,225845.296875
1981-01-01,230710.796875
1981-04-01,233233.296875
1981-07-01,231136.296875
1981-10-01,230073.296875
1982-01-01,227440.296875
1982-04-01,224821.796875
1982-07-01,222828.000000
1982-10-01,220771.796875
1983-01-01,224379.796875
1983-04-01,228806.296875
1983-07-01,231376.796875
1983-10-01,234253.296875
1984-01-01,238310.500000
1984-04-01,242935.296875
1984-07-01,243979.796875
1984-10-01,247787.500000
1985-01-01,251594.500000
1985-04-01,252403.796875
1985-07-01,255608.000000
1985-10-01,259505.000000
1986-01-01,259373.500000
1986-04-01,260864.296875
1986-07-01,261192.296875
1986-10-01,259301.500000
1987-01-01,265295.000000
1987-04-01,268693.500000
1987-07-01,272798.812500
1987-10-01,276323.000000
1988-01-01,280349.000000
1988-04-01,282836.812500
1988-07-01,282878.812500
1988-10-01,284820.000000
1989-01-01,288111.000000
1989-04-01,289231.812500
1989-07-01,290276.000000
1989-10-01,289698.312500
1990-01-01,292484.312500
1990-04-01,291310.812500
1990-07-01,289223.000000
1990-10-01,286647.812500
1991-01-01,282524.000000
1991-04-01,283880.000000
1991-07-01,284256.500000
1991-10-01,284756.000000
1992-01-01,284957.000000
1992-04-01,285281.812500
1992-07-01,286827.000000
1992-10-01,288461.312500
1993-01-01,290292.812500
1993-04-01,292937.000000
1993-07-01,295738.500000
1993-10-01,297003.500000
1994-01-01,301382.812500
1994-04-01,305782.500000
1994-07-01,309702.812500
1994-10-01,311952.500000
1995-01-01,314818.812500
1995-04-01,314952.500000
1995-07-01,315368.812500
1995-10-01,316641.500000
1996-01-01,317101.000000
1996-04-01,319358.500000
1996-07-01,322040.812500
1996-10-01,324592.312500
1997-01-01,328941.500000
1997-04-01,332643.312500
1997-07-01,336586.812500
1997-10-01,339839.500000
1998-01-01,344638.000000
1998-04-01,344820.500000
1998-07-01,347962.500000
1998-10-01,352677.312500
1999-01-01,359045.000000
1999-04-01,362006.312500
1999-07-01,367680.500000
1999-10-01,372831.500000
2000-01-01,378669.000000
2000-04-01,383125.812500
2000-07-01,387053.000000
2000-10-01,387818.500000
2001-01-01,390001.500000
2001-04-01,391228.000000
2001-07-01,390953.000000
2001-10-01,393297.812500
2002-01-01,399048.500000
2002-04-01,401406.312500
2002-07-01,404877.312500
2002-10-01,407101.000000
2003-01-01,409366.000000
2003-04-01,408772.312500
2003-07-01,410300.500000
2003-10-01,413121.000000
2004-01-01,416125.000000
2004-04-01,421055.500000
2004-07-01,426033.812500
2004-10-01,429108.500000
2005-01-01,430611.312500
2005-04-01,433723.500000
2005-07-01,438979.812500
2005-10-01,443339.500000
2006-01-01,446939.000000
2006-04-01,447162.500000
2006-07-01,448421.312500
2006-10-01,450207.000000
2007-01-01,453080.312500
2007-04-01,457455.812500
2007-07-01,459169.812500
2007-10-01,459773.312500
2008-01-01,460118.312500
2008-04-01,461794.812500
2008-07-01,465589.500000
2008-10-01,460187.312500
2009-01-01,449802.812500
2009-04-01,444950.812500
2009-07-01,446940.812500
2009-10-01,452133.812500
2010-01-01,457611.500000
2010-04-01,460007.812500
2010-07-01,463228.000000
2010-10-01,468424.500000
2011-01-01,471992.000000
2011-04-01,472848.812500
2011-07-01,479318.500000
2011-10-01,483127.812500
2012-01-01,483432.812500
2012-04-01,485004.312500
2012-07-01,485668.000000
2012-10-01,486667.500000
2013-01-01,491023.812500
2013-04-01,493851.500000
2013-07-01,497912.500000
2013-10-01,503123.500000
2014-01-01,503973.812500
2014-04-01,508567.812500
2014-07-01,513442.812500
2014-10-01,516991.500000
2015-01-01,514113.000000
2015-04-01,512709.500000
2015-07-01,514545.500000
2015-10-01,514886.500000
2016-01-01,517933.000000
2016-04-01,515353.000000
2016-07-01,520701.312500
2016-10-01,523622.500000
2017-01-01,530210.812500
2017-04-01,535791.500000
2017-07-01,535959.812500
2017-10-01,538679.000000
2018-01-01,544941.312500
2018-04-01,549192.000000
2018-07-01,551962.312500
2018-10-01,553262.500000
2019-01-01,554594.000000
2019-04-01,560665.500000
2019-07-01,562233.312500
2019-10-01,563838.500000
2020-01-01,552844.000000
2020-04-01,492031.500000
2020-07-01,536725.312500
2020-10-01,546807.000000
2021-01-01,556122.312500
2021-04-01,555470.500000
2021-07-01,566660.500000
2021-10-01,576806.000000
2022-01-01,581725.312500
2022-04-01,587179.312500
2022-07-01,590733.312500
2022-10-01,589886.812500
2023-01-01,595588.812500
2023-04-01,596820.000000
2023-07-01,595994.812500
2023-10-01,597039.312500
2024-01-01,600063.812500
2024-04-01,603350.000000
2024-07-01,604893.000000
