observation_date,CLVMNACSCAB1GQHU
1995-01-01,4855700.7
1995-04-01,4845255.2
1995-07-01,4843440.0
1995-10-01,4823337.1
1996-01-01,4864953.6
1996-04-01,4826365.6
1996-07-01,4816952.4
1996-10-01,4877426.6
1997-01-01,4920510.4
1997-04-01,4971545.4
1997-07-01,5014761.0
1997-10-01,5056048.2
1998-01-01,5096526.0
1998-04-01,5175903.1
1998-07-01,5223694.9
1998-10-01,5224660.0
1999-01-01,5226046.9
1999-04-01,5282782.9
1999-07-01,5383276.0
1999-10-01,5443843.3
2000-01-01,5490899.4
2000-04-01,5543424.4
2000-07-01,5593101.2
2000-10-01,5699405.0
2001-01-01,5737907.2
2001-04-01,5784074.1
2001-07-01,5835310.6
2001-10-01,5878784.3
2002-01-01,6014181.7
2002-04-01,6045692.6
2002-07-01,6100078.7
2002-10-01,6173786.1
2003-01-01,6214006.4
2003-04-01,6280507.6
2003-07-01,6354643.3
2003-10-01,6417829.3
2004-01-01,6524129.8
2004-04-01,6594463.5
2004-07-01,6672875.5
2004-10-01,6696254.3
2005-01-01,6761476.3
2005-04-01,6897823.7
2005-07-01,6947422.0
2005-10-01,7025056.4
2006-01-01,7076681.5
2006-04-01,7181401.5
2006-07-01,7219744.8
2006-10-01,7290053.9
2007-01-01,7198897.6
2007-04-01,7193984.2
2007-07-01,7229773.3
2007-10-01,7253028.3
2008-01-01,7328201.7
2008-04-01,7364380.6
2008-07-01,7346426.8
2008-10-01,7087693.7
2009-01-01,6788940.4
2009-04-01,6793005.2
2009-07-01,6788927.1
2009-10-01,6782869.6
2010-01-01,6793330.4
2010-04-01,6845941.2
2010-07-01,6897865.6
2010-10-01,6890435.8
2011-01-01,6974957.9
2011-04-01,6961960.8
2011-07-01,6969781.7
2011-10-01,7049535.3
2012-01-01,6952562.9
2012-04-01,6888208.9
2012-07-01,6905381.1
2012-10-01,6889032.4
2013-01-01,6932622.4
2013-04-01,6997207.2
2013-07-01,7105580.3
2013-10-01,7163555.5
2014-01-01,7231941.7
2014-04-01,7326755.0
2014-07-01,7396542.0
2014-10-01,7436732.4
2015-01-01,7556502.2
2015-04-01,7566456.1
2015-07-01,7624040.3
2015-10-01,7704096.5
2016-01-01,7689090.7
2016-04-01,7781826.7
2016-07-01,7822743.5
2016-10-01,7893701.2
2017-01-01,7988576.3
2017-04-01,8086440.0
2017-07-01,8161290.1
2017-10-01,8282627.6
2018-01-01,8443926.8
2018-04-01,8519563.1
2018-07-01,8648925.7
2018-10-01,8742685.4
2019-01-01,8927084.6
2019-04-01,8954829.3
2019-07-01,9079328.3
2019-10-01,9137340.8
2020-01-01,9115044.9
2020-04-01,7792604.2
2020-07-01,8707067.2
2020-10-01,8857607.5
2021-01-01,8958390.6
2021-04-01,9161855.6
2021-07-01,9275858.5
2021-10-01,9515918.2
2022-01-01,9621398.5
2022-04-01,9718378.9
2022-07-01,9609709.8
2022-10-01,9540526.8
2023-01-01,9481994.2
2023-04-01,9491960.8
2023-07-01,9619699.1
2023-10-01,9594713.3
2024-01-01,9636888.6
2024-04-01,9614391.8
2024-07-01,9550762.1
