observation_date,CLVMNACSAB1GQIS
1995-01-01,246913.3
1995-04-01,252903.1
1995-07-01,250982.7
1995-10-01,252049.3
1996-01-01,262078.6
1996-04-01,263091.2
1996-07-01,258478.1
1996-10-01,265002.5
1997-01-01,275640.3
1997-04-01,277420.2
1997-07-01,274122.3
1997-10-01,281992.6
1998-01-01,275178.1
1998-04-01,302320.5
1998-07-01,301476.7
1998-10-01,311866.0
1999-01-01,310961.5
1999-04-01,302740.4
1999-07-01,305613.5
1999-10-01,319575.0
2000-01-01,318928.2
2000-04-01,321387.3
2000-07-01,331565.5
2000-10-01,328769.7
2001-01-01,328875.2
2001-04-01,339262.0
2001-07-01,331852.3
2001-10-01,352861.9
2002-01-01,329487.1
2002-04-01,342171.7
2002-07-01,340548.1
2002-10-01,348214.7
2003-01-01,351642.3
2003-04-01,341157.5
2003-07-01,342735.4
2003-10-01,354035.8
2004-01-01,367665.6
2004-04-01,363518.1
2004-07-01,380685.2
2004-10-01,386121.4
2005-01-01,374557.4
2005-04-01,401738.1
2005-07-01,403045.8
2005-10-01,410391.6
2006-01-01,409340.7
2006-04-01,424961.6
2006-07-01,425397.3
2006-10-01,430456.8
2007-01-01,439473.5
2007-04-01,459206.3
2007-07-01,456227.6
2007-10-01,478150.0
2008-01-01,465291.7
2008-04-01,477090.1
2008-07-01,452969.5
2008-10-01,478207.4
2009-01-01,429978.0
2009-04-01,427777.4
2009-07-01,437403.5
2009-10-01,434813.9
2010-01-01,407096.1
2010-04-01,423451.9
2010-07-01,416856.1
2010-10-01,433561.9
2011-01-01,412716.8
2011-04-01,425046.4
2011-07-01,433307.5
2011-10-01,440922.6
2012-01-01,424219.3
2012-04-01,430411.1
2012-07-01,434251.9
2012-10-01,441320.8
2013-01-01,443151.4
2013-04-01,449489.5
2013-07-01,450383.2
2013-10-01,465945.1
2014-01-01,451604.5
2014-04-01,451209.6
2014-07-01,469371.1
2014-10-01,467306.0
2015-01-01,458499.6
2015-04-01,486819.2
2015-07-01,483631.9
2015-10-01,492151.5
2016-01-01,476246.3
2016-04-01,509850.7
2016-07-01,518720.3
2016-10-01,537386.4
2017-01-01,514108.9
2017-04-01,532953.7
2017-07-01,530685.0
2017-10-01,550125.0
2018-01-01,549654.5
2018-04-01,563164.6
2018-07-01,553884.4
2018-10-01,565204.7
2019-01-01,567375.4
2019-04-01,570262.6
2019-07-01,560615.7
2019-10-01,575194.1
2020-01-01,545325.7
2020-04-01,504759.6
2020-07-01,527060.3
2020-10-01,538514.5
2021-01-01,531463.1
2021-04-01,549115.8
2021-07-01,572801.5
2021-10-01,573441.7
2022-01-01,582547.4
2022-04-01,609030.6
2022-07-01,607897.4
2022-10-01,627591.9
2023-01-01,636671.8
2023-04-01,645617.9
2023-07-01,630349.5
2023-10-01,636685.1
2024-01-01,634669.1
2024-04-01,643891.2
2024-07-01,636722.5
