observation_date,JPNRGDPEXP
1994-01-01,446237.2
1994-04-01,443814.0
1994-07-01,448901.3
1994-10-01,447176.6
1995-01-01,452038.7
1995-04-01,456341.5
1995-07-01,461685.7
1995-10-01,462858.2
1996-01-01,466642.9
1996-04-01,472549.7
1996-07-01,473157.8
1996-10-01,478450.5
1997-01-01,479586.9
1997-04-01,476081.1
1997-07-01,477004.1
1997-10-01,477186.2
1998-01-01,471313.2
1998-04-01,469309.2
1998-07-01,470144.3
1998-10-01,473910.6
1999-01-01,467364.5
1999-04-01,469179.6
1999-07-01,471677.2
1999-10-01,471823.9
2000-01-01,479973.3
2000-04-01,482113.9
2000-07-01,482259.8
2000-10-01,486916.7
2001-01-01,490542.5
2001-04-01,486847.2
2001-07-01,481596.6
2001-10-01,479887.4
2002-01-01,480738.3
2002-04-01,484576.3
2002-07-01,486179.2
2002-10-01,487493.3
2003-01-01,487800.3
2003-04-01,491103.8
2003-07-01,492629.3
2003-10-01,497979.8
2004-01-01,501747.4
2004-04-01,501655.2
2004-07-01,504781.1
2004-10-01,503834.8
2005-01-01,506382.5
2005-04-01,510302.2
2005-07-01,515504.3
2005-10-01,516442.0
2006-01-01,517217.7
2006-04-01,517979.0
2006-07-01,517006.4
2006-10-01,523999.4
2007-01-01,527414.0
2007-04-01,527577.7
2007-07-01,524826.4
2007-10-01,527050.9
2008-01-01,529026.7
2008-04-01,525805.4
2008-07-01,519429.7
2008-10-01,506445.7
2009-01-01,482051.3
2009-04-01,491577.8
2009-07-01,491477.4
2009-10-01,497374.2
2010-01-01,502587.7
2010-04-01,508752.9
2010-07-01,518008.8
2010-10-01,513620.3
2011-01-01,508259.3
2011-04-01,503957.0
2011-07-01,516154.9
2011-10-01,515320.6
2012-01-01,522746.8
2012-04-01,517852.1
2012-07-01,515829.3
2012-10-01,515392.1
2013-01-01,522681.8
2013-04-01,527337.7
2013-07-01,532370.0
2013-10-01,531648.6
2014-01-01,536147.9
2014-04-01,526391.3
2014-07-01,526879.2
2014-10-01,529169.9
2015-01-01,537544.0
2015-04-01,538216.5
2015-07-01,538848.0
2015-10-01,537788.5
2016-01-01,541983.5
2016-04-01,541005.9
2016-07-01,542202.5
2016-10-01,542889.0
2017-01-01,547177.9
2017-04-01,549293.1
2017-07-01,553982.2
2017-10-01,554451.2
2018-01-01,554853.3
2018-04-01,556945.5
2018-07-01,554036.4
2018-10-01,552941.7
2019-01-01,554250.5
2019-04-01,556543.1
2019-07-01,557510.9
2019-10-01,541662.9
2020-01-01,544589.5
2020-04-01,502794.8
2020-07-01,530150.7
2020-10-01,539422.8
2021-01-01,541324.0
2021-04-01,543942.9
2021-07-01,541930.2
2021-10-01,548650.4
2022-01-01,545871.4
2022-04-01,551977.4
2022-07-01,550346.3
2022-10-01,552519.7
2023-01-01,559262.0
2023-04-01,562883.6
2023-07-01,557205.7
2023-10-01,557725.0
2024-01-01,554281.7
2024-04-01,557253.4
2024-07-01,558505.5
