Date,Australia,USA,Japan,UK,NZ
31-03-1990,4.4,3.3,4,2.1,0.2
30-06-1990,3.6,3,4.5,1.6,-0.5
30-09-1990,2.3,2.4,5.3,1.3,-0.3
31-12-1990,1.4,1.9,4.8,0.6,0
31-03-1991,0.4,0.9,5.6,0,0.2
30-06-1991,-0.4,0.2,5.1,-0.8,0.3
30-09-1991,-0.6,-0.2,3.8,-1.5,-0.3
31-12-1991,-1.3,-0.1,3.5,-1.4,-1.3
31-03-1992,-0.7,0.8,2.5,-0.7,-1.1
30-06-1992,0.4,1.8,1.8,0,-0.5
30-09-1992,1.2,2.7,1.6,0.3,-0.1
31-12-1992,3,3.5,0.9,0.2,0.7
31-03-1993,3.8,3.6,0.6,0.3,1.1
30-06-1993,4,3.5,0.3,0.6,1.9
30-09-1993,4.1,3.2,-0.4,1.4,3.6
31-12-1993,4.1,2.8,-0.5,2.3,5.2
31-03-1994,3.7,2.8,-0.8,2.7,6.4
30-06-1994,4,3.1,-0.1,3.2,6.6
30-09-1994,4.8,3.7,0.8,3.4,6
31-12-1994,4.7,4,1.1,3.4,5.6
31-03-1995,4.6,4,1.6,3.3,5.1
30-06-1995,3.9,3.6,1.7,2.7,5.2
30-09-1995,2.9,3.2,1.9,2.4,5.2
31-12-1995,3.2,2.7,2.6,2.4,4.9
31-03-1996,3.4,2.5,3.2,2.1,4.7
30-06-1996,3.9,2.9,3.3,2.3,4.3
30-09-1996,3.9,3.2,3.2,2.4,4
31-12-1996,3.9,3.8,3.1,2.6,4.1
31-03-1997,3.7,4.2,2.9,3.7,3.6
30-06-1997,3.9,4.3,2.4,4.9,3.5
30-09-1997,4.5,4.4,1.9,5.1,3.3
31-12-1997,4.2,4.4,1,4.9,2.4
31-03-1998,5,4.6,-0.1,4.4,2.1
30-06-1998,4.7,4.5,-0.6,3.2,1.1
30-09-1998,4.7,4.4,-1.2,3.1,0.4
31-12-1998,5,4.5,-1.3,3.4,0.4
31-03-1999,4.7,4.5,-1,3.2,0.9
30-06-1999,5,4.6,-0.7,3,1.7
30-09-1999,4.8,4.8,-0.3,3.4,3.2
31-12-1999,4.2,4.8,-0.3,3.1,4.5
31-03-2000,4.1,4.6,0.6,3.2,5.4
30-06-2000,3.9,4.8,1.3,4.2,6
30-09-2000,3.7,4.6,1.9,4.1,5.3
31-12-2000,3.4,4.1,2.8,4.3,4.2
31-03-2001,2.7,3.6,2.6,4.5,2.9
30-06-2001,2,2.5,2.2,3.4,2.1
30-09-2001,1.8,1.6,1.5,3.2,2
31-12-2001,2.7,1,0.4,2.6,2.5
31-03-2002,3.1,0.7,-0.7,1.6,3.4
30-06-2002,4,0.8,-1,1.8,4
