,Gross domestic product and domestic demand (annualized percentage changes) - GDP
Ene95,12.4792828
Feb-95,10.31627562
Mar-95,4.510740248
Abr95,6.798158315
May-95,11.97648258
Jun-95,6.835046589
Jul-95,9.814959438
Ago95,9.424142085
Sep-95,5.276116216
Oct-95,5.348729502
Nov-95,3.81520927
Dic95,2.92717687
Ene96,-0.182043592
Feb-96,3.528737437
Mar-96,0.584942591
Abr96,3.228242326
May-96,1.299045979
Jun-96,2.663982586
Jul-96,4.022945413
Ago96,0.912350267
Sep-96,2.874270008
Oct-96,1.63564905
Nov-96,3.935564044
Dic96,9.00439659
Ene97,7.10924873
Feb-97,4.62975603
Mar-97,3.773541279
Abr97,12.27440932
May-97,6.309526811
Jun-97,6.371714693
Jul-97,3.480975137
Ago97,5.734522735
Sep-97,10.35363724
Oct-97,9.280859794
Nov-97,3.660620924
Dic97,5.132290138
Ene98,-2.265781829
Feb-98,3.476897296
Mar-98,5.669488997
Abr98,-2.946334338
May-98,-5.150182586
Jun-98,-0.933274675
Jul-98,0.297529601
Ago98,1.725953009
Sep-98,-0.686161418
Oct-98,-2.759558753
Nov-98,1.163168339
Dic98,-1.017937024
Ene99,0.370480456
Feb-99,-1.461712574
Mar-99,-0.478902724
Abr99,-1.514665775
May-99,3.859654875
Jun-99,3.338160441
Jul-99,0.1544908
Ago99,-2.682369063
Sep-99,0.740738379
Oct-99,5.63617796
Nov-99,4.963725758
Dic99,4.730649516
Ene00,3.756773702
Feb-00,2.8946166
Mar-00,13.45105429
Abr00,2.503777636
May-00,7.374481234
Jun-00,4.766122951
Jul-00,6.278422547
Ago00,4.394629815
Sep-00,-2.777673729
Oct-00,-0.846712036
Nov-00,-0.38599275
Dic00,-7.90794891
Ene01,-2.094883533
1-Feb,-5.070416201
1-Mar,-8.447358688
Abr01,4.02399163
1-May,0.322889038
1-Jun,-3.148878569
1-Jul,0.987944951
Ago01,2.805018732
1-Sep,4.684988413
1-Oct,6.120304867
1-Nov,1.557918236
Dic01,6.661873265
Ene02,8.99192043
2-Feb,6.513125557
2-Mar,4.182453095
Abr02,8.60678745
2-May,5.688681067
2-Jun,5.688431993
2-Jul,3.34523682
Ago02,3.150103009
2-Sep,5.829257125
2-Oct,2.073085563
2-Nov,7.473993711
Dic02,4.487058164
Ene03,4.089057128
3-Feb,7.473022353
3-Mar,5.477300954
Abr03,4.558011406
3-May,2.980858456
3-Jun,6.510407409
3-Jul,3.514133636
Ago03,3.392055833
3-Sep,4.139983294
3-Oct,4.828704403
3-Nov,1.395983177
Dic03,2.143329813
Ene04,3.674965996
4-Feb,4.245959119
4-Mar,5.774256974
Abr04,4.247995342
4-May,3.950756854
4-Jun,3.009982597
4-Jul,3.660956165
Ago04,4.450235062
4-Sep,4.785247113
4-Oct,2.620580057
4-Nov,9.457171901
Dic04,9.794380041
Ene05,5.355973116
5-Feb,8.147412818
5-Mar,3.511074905
Abr05,3.542414642
5-May,6.508898115
5-Jun,6.205392805
5-Jul,6.296497219
Ago05,7.063003072
5-Sep,6.053121052
5-Oct,6.492665283
5-Nov,9.399897401
Dic05,6.883366987
Ene06,7.101701644
6-Feb,5.608151829
6-Mar,12.07950018
Abr06,5.40297358
6-May,6.099807336
6-Jun,7.480717862
6-Jul,6.513772824
Ago06,10.32092175
6-Sep,8.139403974
6-Oct,8.701940686
6-Nov,4.743132809
Dic06,8.599434572
Ene07,5.012336552
7-Feb,4.77330813
7-Mar,6.02084894
Abr07,5.29366169
7-May,7.144677068
7-Jun,6.502030341
7-Jul,10.30913744
Ago07,9.364783935
7-Sep,12.92235855
