,Gross domestic product and domestic demand (annualized percentage changes) - Seasonally adjusted GDP - Var% 3-month moving averag
Abr03,0.744849562
3-May,0.429174366
3-Jun,0.777394157
3-Jul,0.314561858
Ago03,0.546819062
3-Sep,0.212481164
3-Oct,0.637942816
3-Nov,-1.240775927
Dic03,-1.116391456
Ene04,-0.355054319
4-Feb,1.628449668
4-Mar,1.763460342
Abr04,0.945625916
4-May,0.559490155
4-Jun,0.118835473
4-Jul,0.09140538
Ago04,0.327868079
4-Sep,0.758856632
4-Oct,0.531779357
4-Nov,0.187785993
Dic04,0.303739192
Ene05,0.499260564
5-Feb,1.300796196
5-Mar,-0.113545408
Abr05,0.584108472
5-May,0.262334478
5-Jun,1.128468365
5-Jul,0.551050766
Ago05,0.106918517
5-Sep,0.481964396
5-Oct,0.456721549
5-Nov,1.314337554
Dic05,0.52811369
Ene06,0.939826052
6-Feb,0.322788167
6-Mar,1.388772403
Abr06,0.452074003
6-May,0.376837846
6-Jun,0.092814092
6-Jul,0.258600575
Ago06,0.829443476
6-Sep,0.261583492
6-Oct,0.7433061
6-Nov,0.159300046
Dic06,0.725338704
Ene07,0.931050137
7-Feb,0.946301195
7-Mar,1.134948184
Abr07,0.418337264
7-May,1.40734581
7-Jun,0.551851324
7-Jul,0.928097606
Ago07,0.054260716
7-Sep,0.472511849
7-Oct,0.634908952
7-Nov,0.976379213
Dic07,1.15266786
Ene08,1.05204953
8-Feb,1.17851333
8-Mar,0.889796866
Abr08,1.175562363
8-May,0.231335674
8-Jun,0.821717852
8-Jul,0.269574076
Ago08,0.486239811
8-Sep,0.226800879
8-Oct,0.114283437
8-Nov,0.237908049
Dic08,-0.413617415
Ene09,0.01553
9-Feb,-0.181508315
9-Mar,-0.232755055
Abr09,-0.319218743
9-May,0.281261588
9-Jun,-0.485973849
9-Jul,-0.25322085
Ago09,-0.061781765
9-Sep,1.195971669
9-Oct,1.0428871
9-Nov,0.754374668
Dic09,0.850235028
Ene10,0.634381295
10-Feb,0.690250967
10-Mar,0.924352645
Abr10,1.119811304
10-May,1.036322812
10-Jun,1.149659129
10-Jul,0.482613919
Ago10,0.308733817
10-Sep,0.27391024
10-Oct,0.848786925
10-Nov,0.804863659
Dic10,-0.009535079
Ene11,0.488765498
11-Feb,0.420550539
11-Mar,1.009275528
Abr11,0.674715346
11-May,0.27066481
11-Jun,-0.178956682
11-Jul,0.088551017
Ago11,0.486577908
11-Sep,0.762693363
11-Oct,0.101059448
11-Nov,0.381981069
Dic11,1.177696452
Ene12,0.796554613
12-Feb,0.459710188
12-Mar,0.226198605
Abr12,0.086028053
12-May,1.012088945
12-Jun,0.458838907
12-Jul,1.086118638
Ago12,0.392582323
12-Sep,0.508981086
12-Oct,0.271117445
12-Nov,0.090703983
Dic12,-0.059165526
Ene13,0.643883412
13-Feb,0.768799255
13-Mar,0.84276241
Abr13,0.221263607
13-May,0.263219338
13-Jun,0.714636956
13-Jul,0.646769825
Ago13,0.752901123
13-Sep,-0.015992509
13-Oct,0.439303255
13-Nov,0.630597039
Dic13,0.524172134
Ene14,0.067302104
14-Feb,0.005311199
14-Mar,0.050347457
Abr14,0.260259176
14-May,-0.330017944
14-Jun,-0.41657258
14-Jul,-0.135973882
Ago14,0.157744432
14-Sep,0.610516986
14-Oct,0.518912492
14-Nov,0.231221502
Dic14,-0.095163912
Ene15,-0.031533776
15-Feb,0.341307416
15-Mar,0.796168774
Abr15,1.012329837
15-May,-0.150561776
15-Jun,0.087611252
15-Jul,-0.275078987
Ago15,0.444196759
15-Sep,0.224517888
15-Oct,0.464790791
15-Nov,0.577407189
Dic15,0.863780963
Ene16,0.045291105
16-Feb,0.572754428
16-Mar,0.464348554
Abr16,0.323221944
16-May,-0.20155901
16-Jun,-0.344099925
16-Jul,0.579521872
Ago16,0.78495463
16-Sep,0.435766708
16-Oct,-0.222580743
16-Nov,0.0057457
Dic16,0.485709219
Ene17,0.745755561
17-Feb,0.355099324
17-Mar,-0.583585356
Abr17,-0.342362553
17-May,-0.014507536
17-Jun,0.996593726
17-Jul,0.521959784
Ago17,0.559302782
17-Sep,0.265826181
17-Oct,0.137593781
17-Nov,-0.247282286
Dic17,-0.065697352
Ene18,0.641129057
18-Feb,0.641577672
18-Mar,0.620891088
Abr18,0.877277344
18-May,1.146131614
18-Jun,-0.007075323
18-Jul,-0.916726186
Ago18,-0.798902637
18-Sep,0.311496095
18-Oct,0.696252205
18-Nov,0.586922346
Dic18,0.455051905
Ene19,-0.065482721
19-Feb,-0.220516421
19-Mar,0.153442581
Abr19,0.689984754
19-May,0.667886913
19-Jun,0.040278658
19-Jul,-0.045234366
Ago19,0.233491866
19-Sep,0.059180602
19-Oct,0.246209792
19-Nov,0.113514563
Dic19,0.008948036
Ene20,0.204070256
20-Feb,-0.070995794
20-Mar,-5.902949844
Abr20,-14.12842312
20-May,-13.5258754
20-Jun,-0.275228752
20-Jul,13.34598156
Ago20,9.899198592
20-Sep,4.636678714
20-Oct,3.047231971
20-Nov,2.521262358
Dic20,2.474151167
Ene21,1.086096408
21-Feb,-0.027188775
21-Mar,-0.826177385
Abr21,-0.917754183
21-May,0.741497263
21-Jun,0.73087051
21-Jul,1.12350632
Ago21,0.517532561
21-Sep,0.713898845
21-Oct,0.295083523
21-Nov,-0.058542863
Dic21,-0.083759671
Ene22,0.428749114
22-Feb,0.387418662
22-Mar,-0.028432274
Abr22,-0.372033505
22-May,-0.042885034
22-Jun,0.584871124
22-Jul,0.456241592
Ago22,0.247830712
22-Sep,0.161018289
22-Oct,0.222609934
22-Nov,0.07039832
Dic22,-0.206590076
Ene23,-0.584951546
23-Feb,-0.432022589
23-Mar,-0.263969237
Abr23,0.224031459
23-May,-0.247640274
23-Jun,0.052341727
23-Jul,-0.253028136
Ago23,0.599094231
23-Sep,0.157286417
23-Oct,0.271182709
23-Nov,0.269520215
Dic23,-0.045289077
Ene24,0.264532261
24-Feb,-0.234031988
24-Mar,0.394198886
Abr24,0.815596347
24-May,1.105492715
24-Jun,-0.322727477
24-Jul,-0.012414059
Ago24,0.190662436
24-Sep,1.051041829
24-Oct,0.139231724
24-Nov,0.391667355
Dic24,0.267178733
Ene25,0.394246618
