date,Gross domestic product and domestic demand (2007=100 index) - seasonally adjusted GDP - monthly,
Ene03,74.99775246,
Abr03,76.68814023,2.253917904
Ago03,78.12990966,1.880042241
Dic03,75.75213349,-3.043362242
Ene04,78.09198047,3.088819908
Abr04,80.33205934,2.868513331
Ago04,81.06729582,0.915246648
Dic04,82.72279715,2.042132173
Ene05,83.07618598,0.427196422
Abr05,84.53796931,1.75956962
Ago05,85.67911955,1.349867106
Dic05,87.91211319,2.606228509
Ene06,89.60572663,1.926484734
Abr06,90.83166298,1.368145091
Ago06,93.25060129,2.663100323
Dic06,94.63434679,1.483899815
Ene07,96.22622885,1.682139851
Abr07,97.44153725,1.262969997
Ago07,100.6570116,3.29990109
Dic07,104.4814651,3.799490407
Ene08,105.3821659,0.862067544
Abr08,109.1439991,3.569705716
Ago08,109.6611169,0.473794074
Dic08,109.346551,-0.286852723
Ene09,110.4548703,1.013584141
Abr09,109.4050148,-0.950483666
Ago09,110.5691016,1.064015943
Dic09,113.7386637,2.866589358
Ene10,114.1679492,0.377431461
Abr10,118.0483052,3.398813789
Ago10,120.1805858,1.806278029
Dic10,121.9360923,1.460723867
Ene11,124.6467311,2.222999564
Abr11,127.1769335,2.029898721
Ago11,127.535267,0.281759821
Dic11,132.436077,3.84270964
Ene12,130.9998155,-1.084494144
Abr12,131.3397392,0.259484106
Ago12,136.3987022,3.85181441
Dic12,136.9905881,0.433938073
Ene13,139.4517632,1.796601602
Abr13,140.3808475,0.666240626
Ago13,144.2756279,2.774438586
Dic13,145.7287904,1.007212737
Ene14,145.3166664,-0.282802045
Abr14,146.4573662,0.784975205
Ago14,146.264633,-0.131596795
Dic14,146.3674011,0.070261756
Ene15,148.0025845,1.117177314
Abr15,152.5245654,3.055339145
Ago15,150.110314,-1.582860698
Dic15,155.2557372,3.427761266
Ene16,153.5972254,-1.068245097
Abr16,155.1046963,0.981444096
Ago16,158.1109927,1.938236863
Dic16,160.1563651,1.293630737
Ene17,160.2896017,0.083191573
Abr17,158.6548866,-1.019850996
Ago17,162.4701506,2.40475669
Dic17,163.0666497,0.367143809
Ene18,164.9500467,1.154986016
Abr18,169.2967576,2.635168032
Ago18,166.130374,-1.87031556
Dic18,169.9333446,2.289148281
Ene19,167.8007832,-1.254939932
Abr19,171.2953394,2.082562509
Ago19,172.563126,0.740117393
Dic19,171.2668144,-0.751210082
Ene20,173.3851554,1.236866002
Abr20,104.5953449,-39.67456749
Ago20,156.6850125,49.80113374
Dic20,172.8362307,10.30808113
Ene21,172.5609036,-0.159299412
Abr21,167.8812356,-2.711893542
Ago21,175.1843477,4.350165803
Dic21,175.5880546,0.230446901
Ene22,177.443846,1.056900712
Abr22,175.4728028,-1.110798286
Ago22,178.0162458,1.449479896
Dic22,178.2746167,0.145138944
Ene23,175.9517511,-1.302970464
Abr23,177.1366969,0.673449279
Ago23,177.9417288,0.454469296
Dic23,177.7444177,-0.110885233
Ene24,178.6535176,0.51146467
Abr24,183.0302511,2.44984457
Ago24,185.1450292,1.155425449
Dic24,185.3094361,0.088798981
Ene25,185.924427,0.331872415
