,Gross domestic product and domestic demand (2007=100 index) - Seasonally adjusted GDP - 3-month moving average
3-Mar,75.64783803
Abr03,76.21130062
3-May,76.53837998
3-Jun,77.13338488
3-Jul,77.37601708
Ago03,77.7991239
3-Sep,77.96443238
3-Oct,78.46180087
3-Nov,77.48826574
Dic03,76.62319336
Ene04,76.3511394
4-Feb,77.59447928
4-Mar,78.96282715
Abr04,79.70952011
4-May,80.15548702
4-Jun,80.25074017
4-Jul,80.32409367
Ago04,80.58745073
4-Sep,81.19899395
4-Oct,81.63079343
4-Nov,81.78408463
Dic04,82.03249495
Ene05,82.44205085
5-Feb,83.51445391
5-Mar,83.41962708
Abr05,83.90688819
5-May,84.12700489
5-Jun,85.07635152
5-Jul,85.54516541
Ago05,85.63662903
5-Sep,86.04936709
5-Oct,86.44237309
5-Nov,87.57851767
Dic05,88.04103181
Ene06,88.86846436
6-Feb,89.15532125
6-Mar,90.39348575
Abr06,90.8021312
6-May,91.14430799
6-Jun,91.22890275
6-Jul,91.46482122
Ago06,92.22347021
6-Sep,92.46471159
6-Oct,93.15200743
6-Nov,93.30039862
Dic06,93.97714252
Ene07,94.85211683
7-Feb,95.74970355
7-Mar,96.83641307
Abr07,97.24151587
7-May,98.61004027
7-Jun,99.15422108
7-Jul,100.074469
Ago07,100.1287702
7-Sep,100.6018905
7-Oct,101.2406209
7-Nov,102.2291132
Dic07,103.4074754
Ene08,104.4953732
8-Feb,105.7268651
8-Mar,106.6676195
Abr08,107.9215639
8-May,108.1712249
8-Jun,109.0600872
8-Jul,109.3540849
Ago08,109.885808
8-Sep,110.13503
8-Oct,110.2608961
8-Nov,110.5232156
Dic08,110.0660724
Ene09,110.0831656
9-Feb,109.8833555
9-Mar,109.6275965
Abr09,109.2776446
9-May,109.5850007
9-Jun,109.0524462
9-Jul,108.7763027
Ago09,108.7090988
9-Sep,110.0092288
9-Oct,111.1565009
9-Nov,111.9950373
Dic09,112.9472584
Ene10,113.6637747
10-Feb,114.44834
10-Mar,115.5062462
Abr10,116.7996982
10-May,118.0101201
10-Jun,119.3668343
10-Jul,119.9429152
Ago10,120.3132196
10-Sep,120.6427698
10-Oct,121.6667698
10-Nov,122.6460215
Dic10,122.6343271
Ene11,123.2337213
11-Feb,123.7519814
11-Mar,125.0009799
Abr11,125.8443807
11-May,126.1849971
11-Jun,125.9591807
11-Jul,126.0707188
Ago11,126.6841511
11-Sep,127.6503627
11-Oct,127.7793654
11-Nov,128.2674584
Dic11,129.7780597
Ene12,130.8118128
12-Feb,131.4131681
12-Mar,131.7104228
Abr12,131.8237307
12-May,133.1579041
12-Jun,133.7688844
12-Jul,135.2217732
Ago12,135.75263
12-Sep,136.4435852
12-Oct,136.8135075
12-Nov,136.9376028
Dic12,136.856583
Ene13,137.7377798
13-Feb,138.7967068
13-Mar,139.9664333
Abr13,140.2761281
13-May,140.645362
13-Jun,141.6504657
13-Jul,142.5666182
Ago13,143.6400039
13-Sep,143.6170322
13-Oct,144.2479465
13-Nov,145.1575698
Dic13,145.9184453
Ene14,146.0166515
14-Feb,146.0244068
14-Mar,146.0979263
Abr14,146.4781596
14-May,145.9947554
14-Jun,145.3865813
14-Jul,145.1888935
Ago14,145.4179209
14-Sep,146.305722
14-Oct,147.0649207
14-Nov,147.4049664
Dic14,147.26469
Ene15,147.2182519
15-Feb,147.7207187
15-Mar,148.896825
Abr15,150.404152
15-May,150.1777008
15-Jun,150.3092734
15-Jul,149.8958041
Ago15,150.5616364
15-Sep,150.8996742
15-Oct,151.601042
15-Nov,152.4763973
Dic15,153.7934594
Ene16,153.8631142
16-Feb,154.744372
16-Mar,155.4629252
Abr16,155.9654155
16-May,155.6510532
16-Jun,155.115458
16-Jul,156.014386
Ago16,157.2390282
16-Sep,157.9242235
16-Oct,157.5727146
16-Nov,157.5817683
Dic16,158.3471574
Ene17,159.5280402
17-Feb,160.0945232
17-Mar,159.160235
Abr17,158.6153299
17-May,158.5923187
17-Jun,160.1728398
17-Jul,161.0088777
Ago17,161.9094048
17-Sep,162.3398024
17-Oct,162.5631718
17-Nov,162.1611819
Dic17,162.0546463
Ene18,163.0936257
18-Feb,164.139998
18-Mar,165.1591286
Abr18,166.6080323
18-May,168.5175796
18-Jun,168.5056564
18-Jul,166.960921
Ago18,165.6270658
18-Sep,166.1429876
18-Oct,167.2997618
18-Nov,168.2816815
Dic18,169.0474505
Ene19,168.9367536
19-Feb,168.5642203
19-Mar,168.8228696
Abr19,169.9877217
19-May,171.1230474
19-Jun,171.1919735
19-Jul,171.1145359
Ago19,171.5140744
19-Sep,171.6155775
19-Oct,172.0381118
19-Nov,172.2334002
Dic19,172.2488117
Ene20,172.6003203
20-Feb,172.4777813
20-Mar,162.2965044
Abr20,139.3665675
20-May,120.5160192
20-Jun,120.1843245
20-Jul,136.2241023
Ago20,149.7091967
20-Sep,156.6507312
20-Oct,161.4242423
20-Nov,165.494171
Dic20,169.588747
Ene21,171.4306442
21-Feb,171.3840344
21-Mar,169.9680982
Abr21,168.4082089
21-May,169.6569511
21-Jun,170.8969238
21-Jul,172.8169615
Ago21,173.7113456
21-Sep,174.9514688
21-Oct,175.4677218
21-Nov,175.364998
Dic21,175.2181128
Ene22,175.9693589
22-Feb,176.6510971
22-Mar,176.6008711
Abr22,175.9438567
22-May,175.8684032
22-Jun,176.8970067
22-Jul,177.7040844
Ago22,178.1444897
22-Sep,178.4313349
22-Oct,178.8285408
22-Nov,178.9544331
Dic22,178.584731
Ene23,177.5400968
23-Feb,176.7730835
23-Mar,176.3064569
Abr23,176.7014389
23-May,176.2638549
23-Jun,176.3561145
23-Jul,175.9098839
Ago23,176.9637498
23-Sep,177.2420898
23-Oct,177.7227397
23-Nov,178.2017384
Dic23,178.1210325
Ene24,178.5922201
24-Feb,178.1742571
24-Mar,178.8766181
Abr24,180.3355292
24-May,182.3291254
24-Jun,181.7406992
24-Jul,181.7181378
Ago24,182.064606
24-Sep,183.9781812
24-Oct,184.2343372
24-Nov,184.9559229
Dic24,185.4500858
Ene25,186.1812165
