,Employment in Metropolitan Lima - Three-month moving average (percentage) - Unemployment rate (%)
1-May,9.240753676
1-Jun,9.489724101
1-Jul,9.196062641
Ago01,9.491484476
1-Sep,9.54805084
1-Oct,9.716332453
1-Nov,9.451203428
Dic01,8.861439417
Ene02,9.324256399
2-Feb,9.970213939
2-Mar,10.62234778
Abr02,10.67808258
2-May,10.19339817
2-Jun,9.878621818
2-Jul,8.947828425
Ago02,8.716378449
2-Sep,8.518363684
2-Oct,8.491661332
2-Nov,8.464217478
Dic02,8.653707454
Ene03,9.262437019
3-Feb,9.478570563
3-Mar,10.02640231
Abr03,9.866779253
3-May,9.7882463
3-Jun,9.272886428
3-Jul,8.872993925
Ago03,9.263716902
3-Sep,8.965872595
3-Oct,9.246260569
3-Nov,8.889787988
Dic03,9.398781162
Ene04,10.10035377
4-Feb,10.4876646
4-Mar,10.63772797
Abr04,10.49505817
4-May,9.999498461
4-Jun,9.457960653
4-Jul,8.592791015
Ago04,8.71341908
4-Sep,8.890162594
4-Oct,9.260722439
4-Nov,8.861363505
Dic04,8.739873994
Ene05,10.00643965
5-Feb,10.7701171
5-Mar,11.3147109
Abr05,10.2136733
5-May,10.10738793
5-Jun,9.663028289
5-Jul,9.290345128
Ago05,9.207268874
5-Sep,9.287627341
5-Oct,9.07588964
5-Nov,8.607813198
Dic05,8.033392709
Ene06,8.871612157
6-Feb,8.969436984
6-Mar,9.014045801
Abr06,8.705338192
6-May,8.844699457
6-Jun,8.940997101
6-Jul,8.515727751
Ago06,8.436489005
6-Sep,8.485630216
6-Oct,8.120027548
6-Nov,7.942840296
Dic06,7.442748829
Ene07,8.964815882
7-Feb,9.487040445
7-Mar,9.753324651
Abr07,9.020351823
7-May,8.533196606
7-Jun,8.289942656
7-Jul,7.93334589
Ago07,7.916739528
7-Sep,8.160743026
7-Oct,7.928011202
7-Nov,7.925737899
Dic07,7.452222799
Ene08,8.098705432
8-Feb,8.962125275
8-Mar,9.294603271
Abr08,8.996134335
8-May,8.102657563
8-Jun,7.899959416
8-Jul,8.115366941
Ago08,8.378631333
8-Sep,8.521838005
8-Oct,7.905913628
8-Nov,7.662092923
Dic08,7.779519577
Ene09,8.812859116
9-Feb,9.306249367
9-Mar,9.313128593
Abr09,8.768532548
9-May,8.459656671
9-Jun,8.497646327
9-Jul,8.199472012
Ago09,8.304537091
9-Sep,7.830742582
9-Oct,7.6331796
9-Nov,7.221305161
Dic09,7.911875336
Ene10,8.605435682
10-Feb,9.587381176
10-Mar,9.177460191
Abr10,9.004469556
10-May,7.735535783
10-Jun,7.589871566
10-Jul,7.043864951
Ago10,7.401541096
10-Sep,7.639836289
10-Oct,7.860012688
10-Nov,7.590717031
Dic10,7.156960574
Ene11,7.682965804
11-Feb,9.120691094
11-Mar,9.386296503
Abr11,8.807660626
11-May,7.351921501
11-Jun,7.301439063
11-Jul,6.966771584
Ago11,7.016655057
11-Sep,7.305544517
11-Oct,7.318504853
11-Nov,7.045535658
Dic11,6.985347605
Ene12,7.755398671
12-Feb,8.314935936
12-Mar,8.660130719
Abr12,8.055111738
12-May,7.219345851
12-Jun,6.285822259
12-Jul,6.20804323
Ago12,6.661244239
12-Sep,6.602307804
12-Oct,6.222500261
12-Nov,5.91418951
Dic12,5.637761428
Ene13,6.130196664
13-Feb,6.402394962
13-Mar,6.391379452
Abr13,5.613152567
13-May,5.670187842
13-Jun,5.777933191
13-Jul,6.03026348
Ago13,5.561135595
13-Sep,5.941463614
13-Oct,5.768170963
13-Nov,5.766691719
Dic13,5.682807785
Ene14,6.369063385
14-Feb,6.975484492
14-Mar,6.948005127
Abr14,6.280047472
14-May,5.799734613
14-Jun,5.672629258
14-Jul,5.735264124
Ago14,5.898101574
14-Sep,5.607209269
14-Oct,5.693179518
14-Nov,5.423093963
Dic14,5.556896344
Ene15,6.353278655
15-Feb,6.891138527
15-Mar,7.025578465
Abr15,6.808493606
15-May,6.976650806
15-Jun,6.82215392
15-Jul,6.438112021
Ago15,6.143659711
15-Sep,6.438506955
15-Oct,5.83096746
15-Nov,5.761373458
Dic15,5.689115114
Ene16,6.589756692
16-Feb,6.900868477
16-Mar,7.222081441
Abr16,6.979894344
16-May,7.108302122
16-Jun,6.977883127
16-Jul,7.100882451
Ago16,6.810755482
16-Sep,6.50809317
16-Oct,6.198282286
16-Nov,5.836454432
Dic16,6.244589369
Ene17,7.195267181
17-Feb,7.73794666
17-Mar,7.733986348
Abr17,6.819540607
17-May,6.603627044
17-Jun,6.925025623
17-Jul,7.062380833
Ago17,6.676696311
17-Sep,6.427929564
17-Oct,6.199460916
17-Nov,6.560536561
Dic17,6.454948656
Ene18,7.300441235
18-Feb,8.027418126
18-Mar,8.061365203
Abr18,7.324524555
18-May,6.636802338
18-Jun,6.222985489
18-Jul,6.168389163
Ago18,6.084898458
18-Sep,6.181887585
18-Oct,6.425933368
18-Nov,6.247634189
Dic18,6.126947642
Ene19,6.476251848
19-Feb,7.559058116
19-Mar,8.15790975
Abr19,7.331316936
19-May,6.709981601
19-Jun,6.307995485
19-Jul,6.003791869
Ago19,5.827430164
19-Sep,5.749808722
19-Oct,6.417700862
19-Nov,6.32622239
Dic19,6.102196341
Ene20,6.338551932
20-Feb,7.068077431
20-Mar,7.766433406
Abr20,8.982468373
20-May,13.12408411
20-Jun,16.28004419
20-Jul,16.37321937
Ago20,15.56662224
20-Sep,16.53162979
20-Oct,16.43002028
20-Nov,15.12599877
Dic20,13.84037187
Ene21,13.01126899
21-Feb,14.49050051
21-Mar,15.27903531
Abr21,15.11226787
21-May,12.02913009
21-Jun,10.32186612
21-Jul,9.391020662
Ago21,9.538179977
21-Sep,9.973118799
21-Oct,9.597499473
21-Nov,9.092969665
Dic21,7.832535436
Ene22,8.6177731
22-Feb,8.900425786
22-Mar,9.412046241
Abr22,8.263712314
22-May,7.211817654
22-Jun,6.779536793
22-Jul,6.8301387
Ago22,7.32302234
22-Sep,7.67263901
22-Oct,7.165827091
22-Nov,7.620149062
Dic22,7.111931164
Ene23,8.010579523
23-Feb,7.329429424
23-Mar,7.484157971
Abr23,7.072392403
