,policyRate,policyDiff,policyDiscrete,inflation,UnemployRateTotal,UnemployRateFemale,UnemployRateMale,RecessionIndMid,RGDP,gRGDP
policyRate,1.0,-0.025295295848431428,-0.03374639297363195,0.625128186230313,0.20587226845097983,0.2441125632815949,0.19106587309826917,0.09106450464259294,-0.07402232854541364,-0.002042070258054732
policyDiff,-0.025295295848431428,1.0,0.8391128874895731,0.17059268514696205,-0.10560768524018185,-0.09317969951506033,-0.141144605839633,-0.12911859261087094,0.009092146171779175,0.05698987468011788
policyDiscrete,-0.03374639297363195,0.8391128874895731,1.0,0.20954923964941666,-0.13766673870248788,-0.1341297557003397,-0.1864135638160652,-0.1301061825524398,0.011234989288057924,0.0695785734585561
inflation,0.625128186230313,0.17059268514696205,0.20954923964941666,1.0,0.013748254689431527,0.02090920533277923,-0.04303578444808311,0.10735059349857044,-0.05473733752006944,-0.0010503534288541826
UnemployRateTotal,0.20587226845097983,-0.10560768524018185,-0.13766673870248788,0.013748254689431527,1.0,0.9825548000644222,0.9841381127416233,-0.058708713180327825,-0.26003286733213765,0.040597605851858065
UnemployRateFemale,0.2441125632815949,-0.09317969951506033,-0.1341297557003397,0.02090920533277923,0.9825548000644222,1.0,0.934433929523189,-0.005707156467346868,-0.2862639133451823,0.039293622424037215
UnemployRateMale,0.19106587309826917,-0.141144605839633,-0.1864135638160652,-0.04303578444808311,0.9841381127416233,0.934433929523189,1.0,0.02940076549326559,-0.28919734785705614,0.002628247584898599
RecessionIndMid,0.09106450464259294,-0.12911859261087094,-0.1301061825524398,0.10735059349857044,-0.058708713180327825,-0.005707156467346868,0.02940076549326559,1.0,0.022019952955461906,-0.10582884309162131
RGDP,-0.07402232854541364,0.009092146171779175,0.011234989288057924,-0.05473733752006944,-0.26003286733213765,-0.2862639133451823,-0.28919734785705614,0.022019952955461906,1.0,-0.01579140263421548
gRGDP,-0.002042070258054732,0.05698987468011788,0.0695785734585561,-0.0010503534288541826,0.040597605851858065,0.039293622424037215,0.002628247584898599,-0.10582884309162131,-0.01579140263421548,1.0
