country,TopicECBLang,TopicGrowth,TopicInflation,TopicJapanLang,TopicFedLang,TopicPandemic,TopicCBOperation,TopicFinance
Armenia,0.0004933258055238869,0.007370053433458621,0.9780385364040929,0.000493325757155974,0.0017105332729890174,0.008226586178632233,0.0031743135934474654,0.0004933255546992522
Australia,0.0037277739501559034,0.31650864831271636,0.6363949629839721,0.0002862109511304931,0.00028621108510668616,0.040893452534713576,0.0016165292772793586,0.0002862109049247138
Canada,0.018312018599521605,0.36087854580693157,0.5827582687998545,0.00072481061640335,0.003060285239943959,0.03353565484168389,0.00036520814870296363,0.00036520794695744094
Chile,0.0003000290318163091,0.04765548123775951,0.9284363943290189,0.00030002892411470455,0.0020551157563491003,0.008519561307275905,0.004179309131832227,0.008554080281832568
Colombia,0.016929270741785886,0.03693634369881334,0.923746532058162,0.0006194782298834818,0.003988059319710514,0.007785497067493824,0.007165104761435077,0.0028297141227152226
ECB,0.24175204615307885,0.009039780098130118,0.6848168335464244,0.0001229830200145261,0.0019869111844567433,0.051186889892727364,0.0022500087144006957,0.008844547390766708
Fed,0.0005911090128967136,0.0025116625086802863,0.011430853478203445,0.0005911087440842364,0.982654852785156,0.0010381958782856272,0.0005911089935597818,0.0005911085991333318
Hungary,0.001880018065343653,0.006037798463499744,0.9594079063443537,0.0001387362522063597,0.0009509111245829059,0.021888455331633302,0.008892268878249327,0.0008039055401304088
Iceland,0.0049705096613204495,0.008902236352912256,0.720813607220498,0.0007864015386718555,0.24262860795567998,0.007157415766046706,0.013954818396334726,0.0007864031085352834
Indonesia,0.0010222954712534264,0.9752875799339417,0.0057882819785014744,7.628167065610465e-05,0.00021260395859676234,0.0026183252707106955,0.0038017116849120023,0.011192920031427793
Japan,0.0035709522331309456,0.004165651662118495,0.05667920181689611,0.8784002953479764,0.0013151449270700545,0.01575307096110703,0.03861974065425003,0.001495942397450259
Korea,0.0017041737370255563,0.23624983387686155,0.7060241933262327,0.02841071680160999,0.0011617238861388957,0.0028930926343728566,0.0018810180785268824,0.02167524765923088
NewZealand,0.00058552219176475,0.14999619917704116,0.5071638579960221,0.00362215388035375,0.01568283755300325,0.318099622019077,0.0005855218345836166,0.0042642853481536
Norway,0.0012620236229017954,0.7298503500175539,0.26395899746624113,0.0017741443764016456,0.001387233420100391,0.0005890836877455182,0.0005890838394881818,0.0005890835695666455
Peru,0.0004484504476765529,0.0020168517514812414,0.9883941671032761,0.0006365819418869,0.00044845036819334704,0.007158597780340614,0.0004484503624508647,0.00044845024469372647
Philippines,0.015568128101214385,0.045198569585678944,0.6589301265814146,0.24228877061885465,0.001483717196015825,0.03457648550593803,0.0004793859326896834,0.0014748164781932542
Poland,0.0002841362078827161,0.000852408829611371,0.9917262000280903,0.0002841360285500613,0.0002841361560763968,0.00563229078098657,0.00028413628580353225,0.0006525556829983484
Thailand,0.0039412522215628125,0.8314587845698131,0.0736199536043689,0.005695408704130631,0.012976624598244293,0.06361784016553393,0.0024112434714171874,0.006278892664928412
