country,TopicECBLang,TopicGrowth,TopicInflation,TopicJapanLang,TopicFedLang,TopicPandemic,TopicCBOperation,TopicFinance
Armenia,0.00049261636122383,0.0076110692050507705,0.9835132715328161,0.00049261630315529,0.0018924049756082,0.0019296532777369102,0.00357575225743359,0.00049261608697426
Australia,0.00236357131558306,0.3021336611989352,0.6677892650987421,0.00028632398069372003,0.0002863241281973,0.02528223196670647,0.0015722983557227802,0.00028632395541809
Canada,0.02011078145741721,0.3536745123030387,0.5984179545233446,0.0007648527403876701,0.00126021598442475,0.025033103203127776,0.00036928999868323,0.00036928978957488
Chile,0.00030490015683264,0.05095074597910809,0.9239128979563496,0.00030490004737577,0.00261609653751652,0.00610424591131231,0.00457210827551621,0.01123410513598779
Colombia,0.01299697874669497,0.036442225179167155,0.9282243942116649,0.0006234936745636,0.00432893290984457,0.008506114378258111,0.00582310781236867,0.0030547530874369
ECB,0.251855042893097,0.006543523326413431,0.6906526451194672,0.00012195572123532998,0.0015889876506702,0.0398917635865413,0.0025680352763346103,0.006778046426239979
Fed,0.00058762067159548,0.0025750310209729198,0.01219834326284254,0.00058762038038141,0.9817967275657796,0.00107941618734809,0.0005876206608054801,0.0005876202502733101
Hungary,0.0021157756429975296,0.00642582575659176,0.9633535125128316,0.00014232293013138,0.00098015638492324,0.01714127966917426,0.008944945655676429,0.00089618144767253
Iceland,0.00454075653289056,0.00897907604993502,0.720704786760576,0.0007750590962109901,0.24242956346942712,0.004673284019702141,0.01712241316082516,0.00077506091043215
Indonesia,0.001148509443561171,0.9793959504163642,0.006006670614204282,7.636047540538415e-05,0.00023085906502305943,0.002192355277266994,0.0032929899879850554,0.007656304720189732
Japan,0.0036607081738042205,0.0037801988854506002,0.05570158175683423,0.8783507890129514,0.0011793201557718101,0.01373482927958857,0.0422143753947907,0.00137819734080738
Korea,0.00191825061012569,0.2271701373104348,0.7194198922824552,0.02773432918687153,0.00129443328325704,0.00027797765981902,0.00212162157408173,0.02006335809295396
NewZealand,0.0005768727323756,0.14846441582817022,0.5311736510101346,0.00422083089631492,0.01283462964463275,0.29716133893406516,0.00057687246381062,0.0049913884904954
Norway,0.0013299739574013098,0.7340642257467922,0.25947556888439294,0.0018933068403929499,0.00146770458429784,0.0005897399152744,0.00058974017256028,0.00058973989888706
Peru,0.00044263715408427996,0.00208894515808471,0.990667542656966,0.00065585281321895,0.00044263700715805,0.0048171112457202295,0.00044263710261300003,0.00044263686215366
Philippines,0.015427965745318,0.03905614056773414,0.6830433500928773,0.23932236415043592,0.00288660466054018,0.01931115535252998,0.00047620968381228995,0.00047620974675112996
Poland,0.00028806536882349,0.00086419632651268,0.996836361305364,0.00028806517501632,0.00028806531062179,0.00028806545925913,0.00028806545577124,0.0008591155986300599
Thailand,0.00476473118775127,0.8396191373810501,0.07442576301745774,0.006805473413449681,0.017045658920638203,0.04908686636567357,0.00066768975170232,0.007584679962276369
