,policyRate,policyRate,policyDiff,policyDiff,UnemployRateTotal,UnemployRateTotal,RecessionIndMid,RecessionIndMid,gRGDP,gRGDP,inflation,inflation
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
country,,,,,,,,,,,,
Australia,3.264704117647059,1.9729626274727405,-0.013690476190476194,0.434942761896793,5.297195150980392,0.9005958391940884,0.44298245614035087,0.4811657384272671,0.783290713178233,1.2972832473205063,2.914980529411765,1.6179776171109383
Canada,2.101430976430976,1.6207226281221947,-0.014030612244897957,0.4188919904056023,6.9587542087542085,1.1058142141238785,0.3611111111111111,0.45609343721507506,0.4921264223527232,1.6036918977771273,2.2345842794612794,1.3564434467229813
Chile,4.147306397306397,2.44748060692266,-0.0008503401360544182,0.9130077631314298,8.172335538720539,1.4318139929159859,0.48518518518518516,0.4842361737188325,0.8274625418237,1.8898509900771638,3.8321982614478114,2.6421340757594773
Colombia,6.413377192982456,3.701467497447597,0.15202702702702703,0.9616596969334005,10.963570407894737,2.3939640392093136,0.021929824561403508,0.09625925821530404,0.6515759329730797,3.6227348540545727,5.901437719298246,3.255361997177569
ECB,1.68275,1.614501072630219,-0.0012626262626262627,0.3479620853819093,8.991666666666667,1.574930743315457,0.36630036630036633,0.47350791004629217,0.31362262026360865,1.773124157885999,2.1421795583333334,1.8005558605354175
Fed,1.9427083333333335,2.033987083646156,-0.012626262626262626,0.47949761365702637,5.695499999999999,1.955826506424412,0.10666666666666666,0.289664847549239,0.5372524953382795,1.2784619730852163,2.5879076883333334,1.7290958352159678
Hungary,5.461516853932584,3.8094257156238984,-0.022727272727272728,1.0694779518605555,6.5054307116104875,2.5282517007068117,0.36875,0.47042918878364076,0.523219852185941,2.2626619078030767,4.8289095318352055,4.5663848293478235
Iceland,5.34375,2.81425454776429,-0.1388888888888889,1.0702005891772202,5.208730158730158,1.785783306397815,0.3606060606060606,0.4711465268436429,0.6671939519023316,2.9175878208679444,4.5846767890625,3.1063870481833336
Indonesia,6.463744588744588,2.0468778670502514,-0.08552631578947367,0.4719882461284718,,,0.2736318407960199,0.4339365387291132,1.1819764118516343,1.0643588618810935,5.286422205627706,3.543110449205796
Japan,0.05236318407960199,0.18722795061832598,0.005208333333333329,0.05943776850214847,3.8186666666666667,1.0055270379348118,0.3699633699633699,0.4640150844997735,0.16264746662284424,1.3711979536674623,0.41110285333333335,1.290351880884204
Korea,2.8554166666666667,1.3394018962486662,-0.0180976430976431,0.30247008529779806,3.502,0.4436690205271641,0.38461538461538464,0.4764142738246764,0.8707001691499159,0.9258112837163245,2.4967900466666664,1.338948920128609
NewZealand,3.915,2.288039829772696,-0.015151515151515152,0.4828938355381461,4.831,0.9681488115016832,0.4084507042253521,0.49504587922253357,0.6497277461537473,1.9651828212973637,2.56434385,1.6575144837026947
Norway,2.564583333333333,2.0846323811892065,-0.010101010101010104,0.46463246015122533,3.8626666666666667,0.5942490946833544,0.46703296703296704,0.49330066221883717,0.3886854732602527,1.1663323214141548,2.4454048716666668,1.4514714413270988
Peru,3.7461240310077524,1.7209259447492624,0.02745098039215686,0.60248990574407,8.071419317664912,1.9684140986367733,0.109375,0.2940224411612704,1.2951483290152996,7.08164713730979,3.0248004196388885,1.887474528643145
Philippines,4.823028673835125,1.7047578338625493,-0.020380434782608692,0.3968018595039492,6.689333333333333,1.903373228870933,0.5416666666666666,0.4839284523438891,1.2761087298991534,3.3953916307308627,3.8846123279569897,1.9752547230114215
Poland,4.248958333333333,3.1974716459885277,-0.13245614035087713,0.6758361794810801,9.3875,5.824695358848547,0.41187739463601536,0.4706084085509075,0.8810729632305648,1.4795216362081753,3.3487281631944446,3.618185241246634
Thailand,2.0471014492753623,1.0547116761246536,0.0027472527472527475,0.3151769416452256,1.1023008184985257,0.3997474956218391,0.5421686746987951,0.48265537923483237,0.8021739130434782,2.03777395574107,1.95006853442029,2.2415626608609527
