country,TopicECBLang,TopicGrowth,TopicInflation,TopicJapanLang,TopicFedLang,TopicPandemic,TopicCBOperation,TopicFinance
Armenia,0.0065587016728885375,0.011387419660607738,0.9481889126597921,0.0014036184485437281,0.0012215952379218483,0.012412719266999505,0.01530769648003864,0.0035193365732071828
Australia,0.00810715514248942,0.7495856235392274,0.16953786565052428,0.0009187405003810466,0.0009868640562176753,0.06295286917374646,0.007193995810399851,0.0007168861270130573
Canada,0.01118363096865352,0.7223665303283289,0.21192461323892606,0.0017072355187487168,0.004059188998331987,0.038896157324817826,0.008631746951264186,0.0012308966709281
Chile,0.006765979919061873,0.03819441608121911,0.9063129081769781,0.008948120146975757,0.002328268404480932,0.022898525352406145,0.009402672013102133,0.005149109905775328
Colombia,0.005950871058912325,0.028900051328820897,0.906848661015475,0.000543606106581669,0.0024983003756641263,0.0341276505685872,0.019717264385240713,0.0014135951607173872
ECB,0.8217224929738324,0.0064922227216705425,0.11285664016506712,0.00020701398182111668,0.00047735172429898883,0.022727161808410515,0.006310933060723764,0.029206183564174905
Fed,0.004142396883883735,0.019206904804577162,0.18555630873757947,0.0008097424766253246,0.761262907788488,0.015073352122067913,0.009930418982272125,0.004017968204505571
Hungary,0.025863984519350396,0.03569787783562302,0.8927346044719173,0.0008403253885866144,0.0007284382369632472,0.027653737370578083,0.014227714822357348,0.002253317354623276
Iceland,0.02544540074697642,0.04373387269590376,0.6328807062097557,0.0007073625485403467,0.20185388383285172,0.0283683693781233,0.05595007077048347,0.01106033381736468
Indonesia,0.008052082572485983,0.7819248602173501,0.18252517808197186,0.0008701472025889568,0.000351475246639804,0.007666379195922931,0.007954038105948682,0.010655839377091228
Japan,0.010463227472845258,0.035854937836485155,0.03232480731787827,0.8176303434760384,0.0018872020853494178,0.012525236565411053,0.0863850231452549,0.0029292221007369413
Korea,0.004306433325679098,0.10534566524233087,0.5308116377771829,0.036115587212808956,0.00263056350662433,0.010028251118342123,0.013526257681055039,0.29723560413597605
NewZealand,0.012672326032846716,0.37994930520151415,0.3460931101649023,0.002086504881375115,0.0034097621255982503,0.2505607388785177,0.0028481212771646965,0.002380131438080411
Norway,0.0042873721144662084,0.5261703919908303,0.31060689950834713,0.0011591335390344073,0.0015290875002877706,0.012470761475754011,0.01189427281343134,0.13188208105784818
Peru,0.0015665345342014611,0.005408660277476632,0.7792237629018727,0.0007115043901242174,0.002085784552839019,0.0211570920652351,0.1884603533688159,0.0013863079094343193
Philippines,0.024195939993154295,0.051717582622973435,0.553787717862367,0.3037218817169291,0.002116098456176774,0.033083620671359004,0.026847777191075086,0.004529381485964606
Poland,0.005758595434826285,0.008412114679078427,0.8528474253638467,0.0006618134010152592,0.0006746736343753481,0.043294046910534484,0.08731968978140651,0.0010316407949163568
Thailand,0.008819065619160236,0.8116118290396303,0.1261381346300168,0.0021439171996341534,0.002590612980140355,0.03803142707450777,0.003423439863621153,0.007241573593288456
