country,TopicECBLang,TopicGrowth,TopicInflation,TopicJapanLang,TopicFedLang,TopicPandemic,TopicCBOperation,TopicFinance
Armenia,0.005582024807755839,0.010505694635543194,0.9520162679345002,0.0013852654101802141,0.0011667932091231437,0.012752642781041802,0.01322559162345307,0.0033657195984013793
Australia,0.011259052018186813,0.7217018439907236,0.19246810082782367,0.00097062798879042,0.0014448848608600447,0.05732309767218061,0.014032201848443006,0.0008001907929907152
Canada,0.011075258274007944,0.7191595376905421,0.2155612025807605,0.0016945839829173746,0.004022780360273205,0.038709927892462546,0.008553652581701293,0.0012230566373339414
Chile,0.006560048222300306,0.0397824799078598,0.8999726457022681,0.008373043554090178,0.002369055073889602,0.02721719375080474,0.009625355561987467,0.00610017822679869
Colombia,0.00771538989384221,0.029942705313814717,0.9049405855510317,0.0005499656011164447,0.0023667444944278186,0.03409348374288196,0.01884525129324906,0.0015458741096349184
ECB,0.7907691142430758,0.006551169247177325,0.13158527118946936,0.00021152278147686262,0.0005309008871644976,0.0278632376966973,0.005880446902229837,0.03660833705270791
Fed,0.004241827555669656,0.019409499042675582,0.18475376975960817,0.0008080290767935199,0.7621011856096106,0.01500032066688362,0.00968515461283515,0.004000213675922498
Hungary,0.026439046601426576,0.035586003361307045,0.8918069851521863,0.0008708816497764235,0.0007640231872642607,0.026479196552711068,0.015833495108914474,0.002220368386412725
Iceland,0.02093523488540817,0.03909458726195008,0.6441994399918102,0.00070767282209335,0.2059846973243027,0.02774786666860853,0.05080586501139483,0.010524636034431208
Indonesia,0.010681207653523104,0.7591360773407686,0.20220258380775022,0.0008226710476273365,0.0003663504708262185,0.007695642757421225,0.009291987450787482,0.009803479471294849
Japan,0.009799433129579356,0.03237237294349262,0.03130624515976707,0.8291568615934903,0.001824891372203488,0.01264684388604869,0.0800172294367636,0.002876122478653627
Korea,0.003950615957408912,0.11221058861419944,0.5491179144061842,0.035847670046373285,0.0024271254548831308,0.011511125094733095,0.012224504166074974,0.2727104562601418
NewZealand,0.012672326032846716,0.37994930520151415,0.3460931101649023,0.002086504881375115,0.0034097621255982503,0.2505607388785177,0.0028481212771646965,0.002380131438080411
Norway,0.004175005628632343,0.5588805990291086,0.29540616827051236,0.0011269400086269781,0.0014754054404425248,0.01227492006709983,0.009794298130548214,0.11686666342502816
Peru,0.0015629697695755116,0.005425767699445804,0.776804804821987,0.0007109084790352438,0.0020804168434999707,0.02108550452992722,0.19094625892411202,0.0013833689324160448
Philippines,0.023944609065110648,0.049619782935056256,0.5457702074224122,0.3127158000942104,0.0023054318049364913,0.03559492054612035,0.025265788956456415,0.004783459175696002
Poland,0.005537661115623767,0.008226991516824786,0.8552922664826093,0.0007134478593163177,0.0006639924481786698,0.04492988969451181,0.08360526342787133,0.0010304874550628397
Thailand,0.008581027507570962,0.8128462614174969,0.12430424395502133,0.002278766593003338,0.003206426339246695,0.03836007147742972,0.0032803297964033133,0.007142872913826698
