country,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
Armenia,0.01530769648003864,0.0035193365732071828,0.0074487862849392916,0.8279887216766479,0.0065587016728885375,0.03618268027967959,0.0014036184485437281,0.0012215952379218483,0.044471922773742276,0.012412719266999505,0.02828577723094153,0.0041805055847103706,0.0024707173285230186,0.00473619674737435,0.0038110244138415297
Australia,0.007193995810399851,0.0007168861270130573,0.0005002280557909524,0.02348511843523884,0.00810715514248942,0.0008961254511637806,0.0009187405003810466,0.0009868640562176753,0.13061134888137896,0.06295286917374646,0.011308456093683803,0.009958575646559725,0.000406960533365368,0.7392200873593024,0.002736588733267944
Canada,0.008631746951264186,0.0012308966709281,0.001779520668263815,0.03492476765289079,0.01118363096865352,0.005637382708608475,0.0017072355187487168,0.004059188998331987,0.13536391825114252,0.038896157324817826,0.027937393475619906,0.644566838214363,0.0019749674634778813,0.07582472465048805,0.006281630482400534
Chile,0.009402672013102133,0.005149109905775328,0.03107564143633942,0.07350783777727551,0.006765979919061873,0.5957897051783199,0.008948120146975757,0.002328268404480932,0.058434091476937206,0.022898525352406145,0.1336212338818978,0.020332556841218496,0.0029303055414460584,0.01493155369855456,0.01388439842620817
Colombia,0.019717264385240713,0.0014135951607173872,0.018090445789000775,0.04466172375334201,0.005950871058912325,0.06887778264122427,0.000543606106581669,0.0024983003756641263,0.04036510509134741,0.0341276505685872,0.7251593525232682,0.019832983269518795,0.006303614614757325,0.002763453444544778,0.009694251217292315
ECB,0.006310933060723764,0.029206183564174905,0.0006477429298209448,0.0069585835628470614,0.8217224929738324,0.002687276650766393,0.00020701398182111668,0.00047735172429898883,0.08166305801855854,0.022727161808410515,0.01890018766448857,0.0026171568276010964,0.0017945903294430694,0.0020804755646263774,0.0019997913385856243
Fed,0.009930418982272125,0.004017968204505571,0.0006535726618246366,0.1767362265204599,0.004142396883883735,0.001414249775757982,0.0008097424766253246,0.761262907788488,0.003685326571430359,0.015073352122067913,0.0020219405089234245,0.00405019281265346,0.0011737839024162874,0.013982928089507414,0.0010449926991831823
Hungary,0.014227714822357348,0.002253317354623276,0.0014591795712366757,0.031189577402998398,0.025863984519350396,0.010492169547281452,0.0008403253885866144,0.0007284382369632472,0.03524391233309452,0.027653737370578083,0.019550612640042292,0.010660236428872316,0.0018869310054054087,0.023150710401345285,0.794799152977264
Iceland,0.05595007077048347,0.01106033381736468,0.0008733533140436024,0.021546499131919767,0.02544540074697642,0.00632584006868533,0.0007073625485403467,0.20185388383285172,0.19743034048311636,0.0283683693781233,0.3868517391512717,0.008783214333951704,0.012263033905626776,0.022687624456325283,0.019852934060718835
Indonesia,0.007954038105948682,0.010655839377091228,0.0008085179446095788,0.15606713076720585,0.008052082572485983,0.00887771466831967,0.0008701472025889568,0.000351475246639804,0.006907586017900453,0.007666379195922931,0.00531602181676579,0.004987564157887985,0.771477472568572,0.005459823490890058,0.004548206867170519
Japan,0.0863850231452549,0.0029292221007369413,0.0018268576973426893,0.010749607686839805,0.010463227472845258,0.0028671628746325993,0.8176303434760384,0.0018872020853494178,0.008670514870966395,0.012525236565411053,0.0051588357509744194,0.025186021724581342,0.0036252278407962763,0.007043688271107531,0.00305182843712236
Korea,0.013526257681055039,0.29723560413597605,0.003184429255294496,0.07072153606517313,0.004306433325679098,0.24806786853190985,0.036115587212808956,0.00263056350662433,0.17973106030330804,0.010028251118342123,0.020193085500849396,0.07427933554570777,0.022657264212205756,0.008409065484417343,0.008913658120647936
NewZealand,0.0028481212771646965,0.002380131438080411,0.00562748145069502,0.10400337262081732,0.012672326032846716,0.004181491666509463,0.002086504881375115,0.0034097621255982503,0.18461354896001153,0.2505607388785177,0.03881638286334477,0.09292948851600112,0.0017952746872032341,0.28522454199830977,0.008850832603524206
Norway,0.01189427281343134,0.13188208105784818,0.0017275138839714572,0.0027106938175929227,0.0042873721144662084,0.002932820385493388,0.0011591335390344073,0.0015290875002877706,0.022741823482854508,0.012470761475754011,0.274888984207626,0.004844559886742017,0.0014220351305961982,0.5199037969734921,0.005605063730808851
Peru,0.1884603533688159,0.0013863079094343193,0.7350247199416797,0.00785800500541671,0.0015665345342014611,0.014240150915699776,0.0007115043901242174,0.002085784552839019,0.002107537842805569,0.0211570920652351,0.016870498753391416,0.002210308447073271,0.002034095010849657,0.0011642568195537033,0.0031228504428795338
Philippines,0.026847777191075086,0.004529381485964606,0.0042955145171722515,0.4365983164285593,0.024195939993154295,0.0019344926578847728,0.3037218817169291,0.002116098456176774,0.08195119749376356,0.033083620671359004,0.023035372444459894,0.03181442712150585,0.007281876424187288,0.012621279077280294,0.005972824320527272
Poland,0.08731968978140651,0.0010316407949163568,0.0006322864483392138,0.011109082006765563,0.005758595434826285,0.7737985262980401,0.0006618134010152592,0.0006746736343753481,0.033552525280630664,0.043294046910534484,0.030923463924347767,0.0018722268528839666,0.002071412650892649,0.00446847517530181,0.0028315414057233338
Thailand,0.003423439863621153,0.007241573593288456,0.0035663111291133693,0.08083550270077085,0.008819065619160236,0.012438616326221548,0.0021439171996341534,0.002590612980140355,0.009227949174901249,0.03803142707450777,0.012494814832871648,0.7953947408080824,0.007162473185585702,0.009054615045962318,0.0075749404661381485
